artist,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks
10-FEET,2022,4,4503353,8,18.75,3,0
10-FEET,2023,52,53015984,5,29.73076923076923,14,0
10-FEET,2024,50,26339740,25,100.64,0,0
10-FEET,2025,28,9952471,151,182.96428571428572,0,0
Ado,2022,21,44890602,1,2.8095238095238093,21,10
Ado,2023,67,86846488,1,23.29850746268657,19,12
Ado,2024,97,79108573,2,71.79381443298969,8,0
Ado,2025,23,8989419,78,152.95652173913044,0,0
Aimer,2021,4,5104332,3,12.5,3,0
Aimer,2022,52,50807881,1,26.346153846153847,17,4
Aimer,2023,52,29075441,39,97.23076923076923,0,0
Aimer,2024,7,2195390,152,179.57142857142858,0,0
Aimer,2025,7,2671585,134,161.42857142857142,0,0
Aimyon,2020,234,136612157,3,40.94871794871795,37,0
Aimyon,2021,208,98503239,7,81.64423076923077,3,0
Aimyon,2022,215,59786870,58,126.9906976744186,0,0
Aimyon,2023,234,87821956,54,120.87606837606837,0,0
Aimyon,2024,230,94820133,36,134.11304347826086,0,0
Aimyon,2025,237,125750893,27,102.21097046413502,0,0
Awesome City Club,2021,48,62169991,4,11.625,21,0
Awesome City Club,2022,52,38662461,8,51.94230769230769,4,0
Awesome City Club,2023,7,1929970,143,169.42857142857142,0,0
Awesome City Club,2024,1,311886,185,185.0,0,0
BTS,2020,19,36379816,1,2.0,19,9
BTS,2021,109,185558252,1,3.697247706422018,106,23
BTS,2022,156,132011371,9,31.564102564102566,1,0
BTS,2023,110,39416143,47,128.46363636363637,0,0
BTS,2024,41,14519210,130,164.46341463414635,0,0
BTS,2025,5,1770970,177,189.2,0,0
Creepy Nuts,2024,51,126379842,1,9.235294117647058,35,19
Creepy Nuts,2025,48,32734350,13,85.45833333333333,0,0
DISH//,2020,4,3595505,21,24.0,0,0
DISH//,2021,52,42633544,21,32.42307692307692,0,0
DISH//,2022,52,27611354,35,71.07692307692308,0,0
DISH//,2023,52,17176644,108,144.1153846153846,0,0
DISH//,2024,8,2551946,155,174.625,0,0
DISH//,2025,5,1869620,167,182.8,0,0
