track_id,artist_id,artist,title,days,t10,peak,pk_streams,total
1sIIlVrnPhrvmTrHtzM7tV,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,点描の唄,2379,41,7,256014,288178849
5BC6kr6etk2Y9J62AyI4i3,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,青と夏,2695,502,2,324527,285716029
7dTW21YAJxnAOiUh7Rtu9S,2IUl3m1H1EQ7QfNbNWvgru,Vaundy,怪獣の花唄,1823,429,1,344084,276014689
4kPlQKwtPrnqLgrmmKFSlA,0ixzjrK1wkN2zWBXt3VW3W,Yuuri,ドライフラワー,1856,588,1,419390,271162429
5LkmpgQYtwHtuvASgnLBe1,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,ダンスホール,1287,611,2,279282,249884929
6MCjmGYlw6mQVWRFVgBRvB,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,夜に駆ける,1980,587,1,332598,245894837
3RvdkNMcSy71m0aT6UF9Uf,6rs1KAoQnFalSqSU4LTh8g,back number,水平線,1571,300,1,238830,244165966
15HNdxGKNCIO9pgaY4n7FU,5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,Pretender,2420,527,1,223605,234753386
1zd35Y44Blc1CwwVbW3Qnk,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,群青,1909,221,5,255787,224022706
278JqkBGkjDovOYAwE8TW7,5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,115万キロのフィルム,2396,342,6,175461,219960643
3wJHCry960drNlAUGrJLmz,4UK2Lzi6fBfUi9rpDt6cik,Yorushika,ただ君に晴れ,2401,86,6,263268,211661155
0teqQ0PYqVDyyXJuPOyMhu,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,ケセラセラ,952,646,2,373828,211397490
4saklk6nie3yiGePpBwUoc,3Nrfpe0tUJi4K4DXYWgMUX,BTS,Dynamite,1528,503,1,367948,208794225
4IfrM44LofE9bSs6TDZS49,0B1ce3uNrzkdm76NXI4mhX,Tani Yuuki,W / X / Y,1436,455,1,274906,205750234
78W4mTLIh4qoLu92W4IQhO,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,ライラック,599,594,1,562498,201654438
2vOAHp8PBBFYqvQUWSoITY,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,インフェルノ,2328,0,13,212614,201212313
7ovUcF5uHTBRzUpB6ZOmvt,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,アイドル,954,381,1,683969,200852555
3YML5IHoqWbw9c9vJJvrvM,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,Soranji,1140,202,6,281959,200178201
51oc6MEsXTpnPn6GOw5VuP,6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,きらり,1674,272,3,239024,198087903
5W7Y92LB4jWvu9NeEQ0GZl,1t17z3vfuc82cxSDMrvryJ,Macaroni Empitsu,なんでもないよ、,1489,248,1,277922,197970536
2jdbZGFp8KVTuk0YxDNL4l,6rs1KAoQnFalSqSU4LTh8g,back number,高嶺の花子さん,2468,159,7,239084,197023717
4JK1kDUdH9RTBQrrSO1QfR,0ixzjrK1wkN2zWBXt3VW3W,Yuuri,ベテルギウス,1488,314,1,271083,191904923
2cKiHG16JBiqHdi7Llq0r7,5kVZa4lFUmAQlBogl1fkd6,Aimyon,マリーゴールド,2693,586,1,167334,191250925
1Vqs0lXeJafYZz2sxnfB3V,4WqXqPmUuenMIr4QaFrZXN,Saucy Dog,シンデレラボーイ,1513,388,2,260277,187713092
49F3htNmwzPKFycPdOrDvf,5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,Subtitle,1147,289,1,574459,185329427
5wWLNNwMAehpj83FU4Lz0m,5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,I LOVE...,2046,279,1,242036,178030961
0tnhoHUrHfcLi9hPknUFZ4,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,僕のこと,2425,0,13,208291,167545422
3QIAwtEEDOrv0g5NKCGrXZ,6rs1KAoQnFalSqSU4LTh8g,back number,花束,2244,54,5,262621,165176575
170XOP1T4MvY9TLTgPw07D,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,Magic,903,162,4,259470,160548385
0JcI7OdALbpSFkyKoufRYs,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,ロマンチシズム,2105,0,11,231781,160325931
7DyS11kB1YNrfDzQqtjmTh,7JthQ6zwNzfxRfIEjp6wUs,HIRAIDAI,"Stand by me, Stand by you.",1845,109,4,240870,159234214
0kdqcbwei4MDWFEX5f33yG,0pWR7TsFhvSCnbmHDjWgrE,Creepy Nuts,Bling-Bang-Bang-Born,691,242,1,746630,159129582
4Jv7U0JJpbQnOrjtDwDZTZ,5kVZa4lFUmAQlBogl1fkd6,Aimyon,裸の心,1999,213,2,255952,158201468
6AncLCxf4U7ivJEaqih9zA,2IUl3m1H1EQ7QfNbNWvgru,Vaundy,不可幸力,1960,0,18,147475,152193987
6IO5nn84TKArsi3cjpIqaD,4SJ7qRgJYNXB9Yttzs4aSa,Ryokuoushoku Shakai,Mela!,2042,0,21,151610,145123818
59eluCMn0XbOWqeWQ91FTM,5kVZa4lFUmAQlBogl1fkd6,Aimyon,君はロックを聴かない,2860,399,2,135925,144121047
06XQvnJb53SUYmlWIhUXUi,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,怪物,1377,256,4,268401,143834097
2cxcqKwQtfKq7giphxjzOu,1Y5vJqABeI6QI6R95EDV6o,tuki.,晩餐歌,794,150,2,359383,141987332
7tGDXCPLpAScEwmqab9YZd,0jWCX6zp4RjWrmZRxJ2uri,Novelbright,Walking with you,2080,0,13,150640,141479206
4FMz2RFrbDGzJO7K4D0vS3,6rs1KAoQnFalSqSU4LTh8g,back number,HAPPY BIRTHDAY,1877,0,16,212753,140360267
4dmruTsdHIOjfOIeaFitXK,63ylN6WBUUxxMsySiDmr0B,Omoinotake,幾億光年,673,225,2,478723,139827994
2HRgqmZQC0MC7GeNuDIXHN,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,Seven,871,191,1,533911,139264840
2IL2asrtx7XM1y8fu2RMnR,71UIOLnsacxQHlU55TvfiH,Da-iCE,CITRUS,1737,73,8,192279,135725822
1VHL1PIkhDwWbFc65xHwOr,0jWCX6zp4RjWrmZRxJ2uri,Novelbright,愛とか恋とか,1323,41,7,185590,135560292
1H3qOzheTPhE7aVvJOWfvA,5kjGRHClVacSyllOUqU1S0,SPITZ,美しい鰭,963,146,2,361138,134504793
7hDX39mc6Uf6zp8RXYUQ6d,2IUl3m1H1EQ7QfNbNWvgru,Vaundy,napori,1815,0,16,172775,128470754
2SihT7AVMiI2VtaAyVIcnO,1t17z3vfuc82cxSDMrvryJ,Macaroni Empitsu,恋人ごっこ,2025,0,30,162589,128181055
7tI8dRuH2Yc6RuoTjxo4dU,1oSPZhvZMIrWW5I41kPkkY,Jimin,Who,500,421,1,444901,127290738
3PK5ERLCyMuQ5Cb89GbZVL,3BjFX1nExMNHvSaoLd1I1k,Takaya Kawasaki,魔法の絨毯,1480,0,13,193419,125488956
3khEEPRyBeOUabbmOPJzAG,1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,KICK BACK,950,169,1,474668,123869205
19mjCzLuMHZ0Tyn3eI85bo,0ixzjrK1wkN2zWBXt3VW3W,Yuuri,シャッター,1358,19,9,182052,123500433
7M0dIdZWN1FDcveRdoOzbZ,0ixzjrK1wkN2zWBXt3VW3W,Yuuri,ビリミリオン,1047,49,4,247026,122169871
7qiZfU4dY1lWllzX7mPBI3,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Shape of You,3208,692,1,85192,118701451
5DMEvbg3gUmiR5HIBWdveV,5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,ノーダウト,2297,357,3,126286,117744108
1ihCiJaXRl4f6Sy4LJov5z,5kjGRHClVacSyllOUqU1S0,SPITZ,チェリー,2552,0,23,107880,117569761
28MATCYDctW5EiBa2repxb,6mEQK9m2krja6X1cfsAjfl,Ado,新時代,852,172,1,464441,117425320
014Dp0tBp4d9uuFAvH1mlc,6rs1KAoQnFalSqSU4LTh8g,back number,怪盗,1652,5,10,203071,115297064
2bgTY4UwhfBYhGT4HUYStN,3Nrfpe0tUJi4K4DXYWgMUX,BTS,Butter,850,217,1,503930,114969296
04TshWXkhV1qkqHzf31Hn6,1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,Lemon,1918,15,4,234985,111291664
2Dzzhb1oV5ckgOjWZLraIB,6WmXWHmfBMhupyIs8MSqtu,natori,Overdose,866,170,2,311854,110670235
1YXot2MLAG9sttepCtBRM7,2IUl3m1H1EQ7QfNbNWvgru,Vaundy,踊り子,1432,9,7,176948,110634432
4GqO80eGXA542oTvlYv4LS,6rs1KAoQnFalSqSU4LTh8g,back number,ハッピーエンド,1931,2,6,231571,110351761
4ETc1oFREuqQss7VQ1Y4mj,2IUl3m1H1EQ7QfNbNWvgru,Vaundy,花占い,1610,0,17,151956,110341771
0OeTb9sIQTNq313HQHv9TM,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,春愁,2038,0,15,190426,109246710
172fMG26G2OoEzzg0wn26r,6wxfx1yhyqjCPYwwxJktR2,King Gnu,白日,1731,12,3,141926,106901233
0J0P8iSE6l3pYHbUdNFYdS,6wxfx1yhyqjCPYwwxJktR2,King Gnu,カメレオン,1030,88,1,261037,103869160
0XZyF9lv6diMt4bxThOL0h,7jGn8qhLb48n7yMMNfAoHv,Awesome City Club,勿忘,773,173,3,301521,103828734
0voOaunLYYqPHrsgXbFVlW,71UIOLnsacxQHlU55TvfiH,Da-iCE,I wonder,586,156,2,327278,103654072
23atyJacJVHvB9RHBNhr35,2zUQjYvy0TevSi4d3PjqQO,MONGOL800,小さな恋のうた,2861,94,6,87884,103052564
0ve9Tpz8Yw0I4eXhWsy21o,1luOe8HkZQ7zwuaO2wuJqI,[Alexandros],ワタリドリ,2884,55,5,112919,102905719
60ReNXcPcsVFd7nUuQw5HZ,5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,ミックスナッツ,944,137,1,261641,102901208
1oNeSCt0CMekCyyLo06kFs,5kVZa4lFUmAQlBogl1fkd6,Aimyon,ハルノヒ,1953,110,4,132590,101960299
0GWNtMohuYUEHVZ40tcnHF,6wxfx1yhyqjCPYwwxJktR2,King Gnu,SPECIALZ,803,166,1,389629,101692699
7o0TPSw494RG2Q4iWmd1v6,6mEQK9m2krja6X1cfsAjfl,Ado,唱,602,162,1,430859,100769899
6sIx7Cn37DGEhjy9hBP8Gx,0jJmZHZHNe8n24Y33z5Nil,DISH//,猫,1230,0,19,152512,96068093
7rA2RuTx1dHadrZcoKh8O9,4XFkDALFTsSHVnRtJSsaMN,Number_i,GOAT,640,19,3,266367,95529862
34ayWAUrQcrjlKZOJAzqke,6rs1KAoQnFalSqSU4LTh8g,back number,アイラブユー,1030,6,8,208155,94400844
2UdvMWk0Z83lMJPbawy2Sm,1t17z3vfuc82cxSDMrvryJ,Macaroni Empitsu,ブルーベリー・ナイツ,1972,0,54,108013,94233863
6wDntdm888mDo458RaYjGl,5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,Cry Baby,929,165,3,239027,93622852
6zjk7Qbwb9DZ4ykUUoqknh,0QZqdhoRQkn1VphAa5eX8h,10-FEET,第ゼロ感,926,110,5,232673,93433267
5RbMlPFL4gVyEHW2lEOuzG,0wRzWf3I4lUl9hdFF5uL0m,Sukima Switch,奏(かなで),1927,0,19,164210,92137695
0v3iUTe5rskRsxbUhboRlT,4WqXqPmUuenMIr4QaFrZXN,Saucy Dog,いつか,1852,0,51,94418,91316997
