date,year,jp_rank,jp_streams,track_id,artist,title
2020/01/02,2020,29,328383,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/01/09,2020,31,348377,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/01/16,2020,32,354298,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/01/23,2020,36,366015,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/01/30,2020,28,383954,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/02/06,2020,25,392153,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/02/13,2020,24,417742,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/02/20,2020,23,432795,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/02/27,2020,25,438664,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/03/05,2020,22,442128,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/03/12,2020,21,468214,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/03/19,2020,22,476678,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/03/26,2020,21,497488,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/04/02,2020,22,482009,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/04/09,2020,22,480381,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/04/16,2020,23,481312,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/04/23,2020,25,492555,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/04/30,2020,23,513512,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/05/07,2020,22,504540,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/05/14,2020,23,500035,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/05/21,2020,22,500598,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/05/28,2020,22,517282,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/06/04,2020,21,541565,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/06/11,2020,19,569894,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/06/18,2020,25,558672,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/06/25,2020,26,575774,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/07/02,2020,27,576758,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/07/09,2020,29,602490,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/07/16,2020,25,648440,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/07/23,2020,24,644683,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/07/30,2020,25,665811,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/08/06,2020,27,669547,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/08/13,2020,38,670933,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/08/20,2020,34,697830,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/08/27,2020,34,700599,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/09/03,2020,33,708227,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/09/10,2020,36,704920,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/09/17,2020,31,742222,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/09/24,2020,31,787632,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/10/01,2020,27,806836,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/10/08,2020,21,824725,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/10/15,2020,25,816805,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/10/22,2020,27,817884,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/10/29,2020,27,799664,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/11/05,2020,25,825580,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/11/12,2020,26,808796,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/11/19,2020,26,817722,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/11/26,2020,30,810816,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/12/03,2020,33,814115,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/12/10,2020,30,827550,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/12/17,2020,30,803324,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/12/24,2020,31,788627,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2020/12/31,2020,32,817541,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2021/01/07,2021,30,700563,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2021/01/14,2021,37,731229,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2021/01/21,2021,39,752376,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2021/01/28,2021,41,762080,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
2021/02/04,2021,38,774325,1sIIlVrnPhrvmTrHtzM7tV,Mrs. GREEN APPLE,点描の唄
