artist,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks
10-FEET,2022,4,4503353,8,18.75,3,0
10-FEET,2023,52,53015984,5,29.73076923076923,14,0
10-FEET,2024,50,26339740,25,100.64,0,0
10-FEET,2025,28,9952471,151,182.96428571428572,0,0
8LOOM,2022,7,4061716,31,58.857142857142854,0,0
8LOOM,2023,16,11300666,14,65.9375,0,0
=LOVE,2025,31,15151908,60,107.29032258064517,0,0
AAA,2020,32,4996277,61,115.90625,0,0
AI,2020,24,3359729,71,130.66666666666666,0,0
AI,2024,3,1103180,138,170.66666666666666,0,0
AI,2025,48,20365123,71,137.97916666666666,0,0
AKASAKI,2024,12,23675469,1,6.083333333333333,10,1
AKASAKI,2025,48,37462493,18,69.91666666666667,0,0
ARASHI,2020,106,26191694,23,93.4245283018868,0,0
ARASHI,2021,28,5392099,69,153.96428571428572,0,0
ARASHI,2025,2,814772,136,152.0,0,0
Ado,2020,5,1463601,59,96.0,0,0
Ado,2021,143,126196754,4,31.762237762237763,22,0
Ado,2022,305,224827465,1,72.27540983606558,65,10
Ado,2023,230,161551252,1,89.15652173913044,19,12
Ado,2024,127,89691077,2,90.66141732283465,8,0
Ado,2025,23,8989419,78,152.95652173913044,0,0
Ai Otsuka,2025,29,12112375,69,145.13793103448276,0,0
AiNA THE END,2025,21,29858632,4,20.333333333333332,14,0
Aimer,2020,31,4604444,77,120.25806451612904,0,0
Aimer,2021,6,5495432,3,71.83333333333333,3,0
Aimer,2022,98,62188366,1,85.5,17,4
Aimer,2023,66,33107934,39,111.07575757575758,0,0
Aimer,2024,7,2195390,152,179.57142857142858,0,0
Aimer,2025,7,2671585,134,161.42857142857142,0,0
Aimyon,2020,370,171462109,3,55.08918918918919,37,0
Aimyon,2021,315,145433464,7,86.95873015873016,4,0
Aimyon,2022,328,108210366,11,120.26829268292683,0,0
Aimyon,2023,315,131516165,11,118.65714285714286,0,0
Aimyon,2024,312,139248458,20,126.97435897435898,0,0
Aimyon,2025,297,149793337,27,113.52861952861953,0,0
Anne-Marie,2020,42,5965183,104,149.33333333333334,0,0
