artist,artist_normalized,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks,has_spotify_data,past_appearances,prev_year_appeared,consecutive_years,appeared
10-FEET,10-FEET,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
10-FEET,10-FEET,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
10-FEET,10-FEET,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
10-FEET,10-FEET,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
10-FEET,10-FEET,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
10-FEET,10-FEET,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
10-FEET,10-FEET,2022,4.0,4503353.0,8.0,18.75,3.0,0.0,1,0,0,0,0
10-FEET,10-FEET,2023,52.0,53015984.0,5.0,29.73076923076923,14.0,0.0,1,0,0,0,1
10-FEET,10-FEET,2024,50.0,26339740.0,25.0,100.64,0.0,0.0,1,1,1,1,0
8LOOM,8LOOM,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
8LOOM,8LOOM,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
8LOOM,8LOOM,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
8LOOM,8LOOM,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
8LOOM,8LOOM,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
8LOOM,8LOOM,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
8LOOM,8LOOM,2022,7.0,4061716.0,31.0,58.85714285714285,0.0,0.0,1,0,0,0,0
8LOOM,8LOOM,2023,16.0,11300666.0,14.0,65.9375,0.0,0.0,1,0,0,0,0
8LOOM,8LOOM,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
=LOVE,=LOVE,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
=LOVE,=LOVE,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
=LOVE,=LOVE,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
=LOVE,=LOVE,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
=LOVE,=LOVE,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
=LOVE,=LOVE,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
=LOVE,=LOVE,2022,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
=LOVE,=LOVE,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
=LOVE,=LOVE,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AAA,AAA,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AAA,AAA,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AAA,AAA,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AAA,AAA,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AAA,AAA,2020,32.0,4996277.0,61.0,115.90625,0.0,0.0,1,0,0,0,0
AAA,AAA,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AAA,AAA,2022,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
AAA,AAA,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
