kouhaku_name,spotify_name
milet,milet
NiziU,NiziU
LiSA,LiSA
Official髭男dism,OFFICIAL HIGE DANDISM
YOASOBI,YOASOBI
あいみょん,Aimyon
Superfly,Superfly
Mr.Children,Mr.Children
星野源,Gen Hoshino
MISIA,MISIA
DISH//,DISH//
Awesome City Club,Awesome City Club
AI,AI
平井大,HIRAIDAI
millennium parade,MILLENNIUM PARADE
藤井風,Fujii Kaze
BUMP OF CHICKEN,BUMP OF CHICKEN
緑黄色社会,Ryokuoushoku Shakai
LE SSERAFIM,LE SSERAFIM
Saucy Dog,Saucy Dog
JO1,JO1
BE:FIRST,BE:FIRST
SEKAI NO OWARI,SEKAI NO OWARI
IVE,IVE
Aimer,Aimer
King Gnu,King Gnu
TWICE,TWICE
Vaundy,Vaundy
Stray Kids,Stray Kids
キタニタツヤ,Tatsuya Kitani
MAN WITH A MISSION,MAN WITH A MISSION
Mrs. GREEN APPLE,Mrs. GREEN APPLE
MISAMO,MISAMO
10-FEET,10-FEET
椎名林檎,Sheena Ringo
Ado,Ado
こっちのけんと,Kocchi no Kento
Omoinotake,Omoinotake
Da-iCE,Da-iCE
ILLIT,ILLIT
HY,HY
tuki.,tuki.
aiko,aiko
Creepy Nuts,Creepy Nuts
Number_i,Number_i
