kouhaku_name,spotify_id,spotify_name,match_type
King & Prince,1nzId6SLDDTUTRV7lNbgxp,King & Prince,auto
Foorin,3h95Ve9m3Q07d8VG6V9hEU,Foorin,auto
milet,45ft4DyTCEJfQwTBHXpdhM,milet,auto
櫻坂46,0Ti7MfCiVVQAK8zLSiqlto,櫻坂46,auto
Hey!Say!JUMP,64BB3FFJokfd3owfpnwxb0,Hey! Say! JUMP,auto
Little Glee Monster,2N19kPGlqKY8GiyE4DkAtp,Little Glee Monster,auto
SixTONES,7dhueqtbx2NVq1leXyqaNl,SixTONES,auto
水森かおり,28XDtBDDNlqwaaRquCRmMN,水森かおり,auto
Kis-My-Ft2,4kxoWjOpCVYKgPv9nea95k,Kis-My-Ft2,auto
天童よしみ,43L3c5Gb7Io5WdzeziXUiV,天童よしみ,auto
NiziU,3z8diLlUCkN1j9N9ZdnfBJ,NiziU,auto
Perfume,2XMxWKPKCxoLkSdpCViCnr,Perfume,auto
BABYMETAL,630wzNP2OL7fl4Xl0GnMWq,BABYMETAL,auto
JUJU,5VLVogbPeBgFHXQPZQzBej,JUJU,auto
LiSA,5L1lO4eRHmJ7a0Q6csE5cT,LISA,auto
三山ひろし,1w61Z4Tm20rD2lYIxw0f8K,三山ひろし,auto
YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,auto
Superfly,5M8AXrOifBT8elkLKbGPQZ,Superfly,auto
Mr.Children,1qma7XhwZotCAucL7NHVLY,Mr.Children,auto
MISIA,3uyDATzOGjbGCts7v2eszk,MISIA,auto
DISH//,0jJmZHZHNe8n24Y33z5Nil,DISH//,auto
Awesome City Club,7jGn8qhLb48n7yMMNfAoHv,Awesome City Club,auto
KAT-TUN,5HQAzIHOdemXR2DoevwhjT,KAT-TUN,auto
Snow Man,0UuiWPm9FpWvRuWNrXO98N,Snow Man,auto
AI,0aD7NQx7yauKlVDnqOxk6q,AI,auto
BiSH,0ebinq3ZTOQAJNag4sBTJj,BiSH,auto
millennium parade,0GZ65zwBwkkwGNJ3zagtTZ,MILLENNIUM PARADE,auto
中村佳穂,0illCOhPkFBykngmCWos6u,中村佳穂,auto
BUMP OF CHICKEN,0hSFeqPehe7FtCNWuQ6Bsy,BUMP OF CHICKEN,auto
なにわ男子,5V0oa9WaeYkBszHV6ItVD6,なにわ男子,auto
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,auto
Saucy Dog,4WqXqPmUuenMIr4QaFrZXN,Saucy Dog,auto
JO1,2koP6FEfIEVk4l2Fe6jFhu,JO1,auto
BE:FIRST,4wCW8kZ8LL7QIdcE8EOKPP,BE:FIRST,auto
SEKAI NO OWARI,7HwzlRPa9Ad0I8rK0FPzzK,SEKAI NO OWARI,auto
IVE,6RHTUrRF63xao58xh9FXYJ,IVE,auto
Aimer,0bAsR2unSRpn6BQPEnNlZm,Aimer,auto
King Gnu,6wxfx1yhyqjCPYwwxJktR2,King Gnu,auto
TWICE,7n2Ycct7Beij7Dj7meI4X0,TWICE,auto
Vaundy,2IUl3m1H1EQ7QfNbNWvgru,Vaundy,auto
KinKi Kids,5ki9pRkPNIXLjuiqG1Jh84,KinKi Kids,auto
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Stray Kids,auto
すとぷり,2i0kSiF991uhqOBfdKfB24,すとぷり,auto
ano,7Il739Q5W4yJUYC3hfnX6z,ano,auto
MAN WITH A MISSION,3NTbOmzlj2cL86XFuDVFvZ,MAN WITH A MISSION,auto
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,auto
大泉洋,4ZEqaiBgNsLXZTGTBuoIxe,大泉 洋,auto
Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,auto
MISAMO,0IwZVmMMGE7nNXS7vN9SIo,MISAMO,auto
10-FEET,0QZqdhoRQkn1VphAa5eX8h,10-FEET,auto
伊藤蘭,4KRqPsYKtYo44aNpJf0Db2,伊藤 蘭,auto
Ado,6mEQK9m2krja6X1cfsAjfl,Ado,auto
ME:I,0wsE3L0l083t6bxC8jJefC,ME:I,auto
Omoinotake,63ylN6WBUUxxMsySiDmr0B,Omoinotake,auto
Da-iCE,71UIOLnsacxQHlU55TvfiH,Da-iCE,auto
ILLIT,36cgvBn0aadzOijnjjwqMN,ILLIT,auto
新浜レオン,6WHw9pdyHYT9c952yPaGM2,新浜レオン,auto
HY,3x621ItlHMtX7mrJ8QnEjM,HY,auto
tuki.,1Y5vJqABeI6QI6R95EDV6o,tuki.,auto
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,auto
aiko,6TDMbiQCWeMClsMr9ORLRK,aiko,auto
Creepy Nuts,0pWR7TsFhvSCnbmHDjWgrE,Creepy Nuts,auto
GLAY,00AFbqxvdDK6T1D6MQZ9c1,GLAY,auto
Number_i,4XFkDALFTsSHVnRtJSsaMN,Number_i,auto
THE ALFEE,04bitarCLkcC3GVESLDZgY,THE ALFEE,auto
日向坂46,6O9ZTocnZDT41j4YrOalhz,けやき坂46,manual
GENERATIONS,4HfuyMMy295oBvbIuXr0v8,GENERATIONS from EXILE TRIBE,manual
乃木坂46,08lN7bm4Etec8ETFxaTUmq,Nogizaka46,manual
鈴木雅之,7HRu4Npbza5TBWn74TkAOF,Masayuki Suzuki,manual
郷ひろみ,0MYnDCY3ae0nSzoCmQiKzh,Hiromi Go,manual
Official髭男dism,5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,manual
東京事変,6KQWWzFLPQbqomJrieHAW5,Tokyo Incidents,manual
ゆず,7lNFzeAXmSIKexINNgO6bu,YUZU,manual
あいみょん,5kVZa4lFUmAQlBogl1fkd6,Aimyon,manual
星野源,1S2S00lgLYLGHWA44qGEUs,Gen Hoshino,manual
石川さゆり,1tYbvS6Nkq4Rxvx8ZRTzJP,Sayuri Ishikawa,manual
氷川きよし,4ga8lGWWzgmXpWf9wRFmRR,Kiyoshi Hikawa,manual
松田聖子,3E5NLQpQbd0eJ18XO9zC0h,Seiko Matsuda,manual
福山雅治,5FGlhIQqewJRV8fx24toG0,Masaharu Fukuyama,manual
上白石萌音,22RdCkknMnMCTC2WGilnGf,小春(上白石萌音),manual
まふまふ,6t6aXZlmnAF1VuiG8BVjQZ,Mafumafu,manual
平井大,7JthQ6zwNzfxRfIEjp6wUs,HIRAIDAI,manual
藤井風,6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,manual
薬師丸ひろ子,1QXFMGfCga8qSyUtVmjXrE,Hiroko Yakushimaru,manual
緑黄色社会,4SJ7qRgJYNXB9Yttzs4aSa,Ryokuoushoku Shakai,manual
三浦大知,5wFXmYxVeibZlg6xNNRpSI,Daichi Miura,manual
工藤静香,7sU5H7XSVz0GC1RyM7jY2W,Shizuka Kudo,manual
篠原涼子,2Ff8zALDdJVexxrBF9an2M,Ryoko Shinohara,manual
新しい学校のリーダーズ,6bnF3FVURjQlBHouMkalE6,ATARASHII GAKKO!,manual
キタニタツヤ,7mvhRvEAHiCTQHUnH7fgnv,Tatsuya Kitani,manual
椎名林檎,2XjqKvB2Xz9IdyjWPIHaXi,Sheena Ringo,manual
さだまさし,0hoYZWflKchdSXPXfCRVRO,Masashi Sada,manual
藤井フミヤ,5uDMiTt5fxXmUyPS5HPwvS,Fumiya Fujii,manual
こっちのけんと,0Xnv1Y7eYjVkEGpTmxInm4,Kocchi no Kento,manual
南こうせつ,05YT4pdGRdXfb1bpYNvrIu,Kosetsu Minami,manual
イルカ,5N1X0nepldoU4h73rk4J7j,Iruka,manual
