kouhaku_name,spotify_id,spotify_name,notes
日向坂46,6O9ZTocnZDT41j4YrOalhz,けやき坂46,旧名義
GENERATIONS,4HfuyMMy295oBvbIuXr0v8,GENERATIONS from EXILE TRIBE,正式名称
乃木坂46,08lN7bm4Etec8ETFxaTUmq,Nogizaka46,英語表記
鈴木雅之,7HRu4Npbza5TBWn74TkAOF,Masayuki Suzuki,ローマ字表記
郷ひろみ,0MYnDCY3ae0nSzoCmQiKzh,Hiromi Go,ローマ字表記
Official髭男dism,5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,英語表記
東京事変,6KQWWzFLPQbqomJrieHAW5,Tokyo Incidents,英語バンド名
ゆず,7lNFzeAXmSIKexINNgO6bu,YUZU,ローマ字表記
あいみょん,5kVZa4lFUmAQlBogl1fkd6,Aimyon,ローマ字表記
星野源,1S2S00lgLYLGHWA44qGEUs,Gen Hoshino,ローマ字表記
石川さゆり,1tYbvS6Nkq4Rxvx8ZRTzJP,Sayuri Ishikawa,ローマ字表記
氷川きよし,4ga8lGWWzgmXpWf9wRFmRR,Kiyoshi Hikawa,ローマ字表記
松田聖子,3E5NLQpQbd0eJ18XO9zC0h,Seiko Matsuda,ローマ字表記
福山雅治,5FGlhIQqewJRV8fx24toG0,Masaharu Fukuyama,ローマ字表記
上白石萌音,22RdCkknMnMCTC2WGilnGf,小春(上白石萌音),キャラ名義
まふまふ,6t6aXZlmnAF1VuiG8BVjQZ,Mafumafu,ローマ字表記
平井大,7JthQ6zwNzfxRfIEjp6wUs,HIRAIDAI,ローマ字表記
藤井風,6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,ローマ字表記
薬師丸ひろ子,1QXFMGfCga8qSyUtVmjXrE,Hiroko Yakushimaru,ローマ字表記
緑黄色社会,4SJ7qRgJYNXB9Yttzs4aSa,Ryokuoushoku Shakai,ローマ字表記
三浦大知,5wFXmYxVeibZlg6xNNRpSI,Daichi Miura,ローマ字表記
工藤静香,7sU5H7XSVz0GC1RyM7jY2W,Shizuka Kudo,ローマ字表記
篠原涼子,2Ff8zALDdJVexxrBF9an2M,Ryoko Shinohara,ローマ字表記
新しい学校のリーダーズ,6bnF3FVURjQlBHouMkalE6,ATARASHII GAKKO!,英語表記
キタニタツヤ,7mvhRvEAHiCTQHUnH7fgnv,Tatsuya Kitani,ローマ字表記
椎名林檎,2XjqKvB2Xz9IdyjWPIHaXi,Sheena Ringo,ローマ字表記
さだまさし,0hoYZWflKchdSXPXfCRVRO,Masashi Sada,ローマ字表記
藤井フミヤ,5uDMiTt5fxXmUyPS5HPwvS,Fumiya Fujii,ローマ字表記
こっちのけんと,0Xnv1Y7eYjVkEGpTmxInm4,Kocchi no Kento,ローマ字表記
南こうせつ,05YT4pdGRdXfb1bpYNvrIu,Kosetsu Minami,ローマ字表記
イルカ,5N1X0nepldoU4h73rk4J7j,Iruka,ローマ字表記
西野カナ,4DDoAL8n6ob19r3jOZEbJI,Kana Nishino,ローマ字表記
