kouhaku_name,spotify_id,spotify_name,followers,popularity,similarity,score,match_type
King & Prince,1nzId6SLDDTUTRV7lNbgxp,King & Prince,326979,64,1.0,76.43365654840014,auto
Foorin,3h95Ve9m3Q07d8VG6V9hEU,Foorin,37683,32,1.0,66.01205201570238,auto
milet,45ft4DyTCEJfQwTBHXpdhM,milet,988318,61,1.0,77.89241445059464,auto
櫻坂46,0Ti7MfCiVVQAK8zLSiqlto,櫻坂46,215797,59,1.0,84.66019458362949,auto
Hey!Say!JUMP,64BB3FFJokfd3owfpnwxb0,Hey! Say! JUMP,227773,57,1.0,74.3607238939828,auto
Little Glee Monster,2N19kPGlqKY8GiyE4DkAtp,Little Glee Monster,818135,54,1.0,76.14067845260584,auto
SixTONES,7dhueqtbx2NVq1leXyqaNl,SixTONES,230684,60,1.0,74.98436060009908,auto
水森かおり,28XDtBDDNlqwaaRquCRmMN,水森かおり,8426,29,1.0,72.62409194910356,auto
Kis-My-Ft2,4kxoWjOpCVYKgPv9nea95k,Kis-My-Ft2,51130,49,1.0,69.98003911168516,auto
天童よしみ,43L3c5Gb7Io5WdzeziXUiV,天童よしみ,27271,32,1.0,75.41014741445662,auto
NiziU,3z8diLlUCkN1j9N9ZdnfBJ,NiziU,1194336,61,1.0,78.2448279562425,auto
Perfume,2XMxWKPKCxoLkSdpCViCnr,Perfume,919296,58,1.0,77.15766587330538,auto
BABYMETAL,630wzNP2OL7fl4Xl0GnMWq,BABYMETAL,2768875,69,1.0,81.40987150042392,auto
JUJU,5VLVogbPeBgFHXQPZQzBej,JUJU,1128783,54,1.0,76.73975911478925,auto
LiSA,5L1lO4eRHmJ7a0Q6csE5cT,LISA,13506734,76,1.0,85.2,auto
三山ひろし,1w61Z4Tm20rD2lYIxw0f8K,三山ひろし,15781,31,1.0,74.1920050849929,auto
YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,9604473,74,1.0,84.72488659998795,auto
Superfly,5M8AXrOifBT8elkLKbGPQZ,Superfly,1591989,60,1.0,78.57974312548355,auto
Mr.Children,1qma7XhwZotCAucL7NHVLY,Mr.Children,3786703,66,1.0,81.3925481873778,auto
MISIA,3uyDATzOGjbGCts7v2eszk,MISIA,2014877,58,1.0,78.6182080259334,auto
DISH//,0jJmZHZHNe8n24Y33z5Nil,DISH//,917214,59,1.0,77.35344575004977,auto
Awesome City Club,7jGn8qhLb48n7yMMNfAoHv,Awesome City Club,280981,49,1.0,73.15147265916406,auto
KAT-TUN,5HQAzIHOdemXR2DoevwhjT,KAT-TUN,148371,34,1.0,68.96292438763598,auto
Snow Man,0UuiWPm9FpWvRuWNrXO98N,Snow Man,463096,66,1.0,77.48144727050168,auto
AI,0aD7NQx7yauKlVDnqOxk6q,AI,908286,57,1.0,76.93523980076299,auto
BiSH,0ebinq3ZTOQAJNag4sBTJj,BiSH,405022,49,1.0,73.83205120233913,auto
millennium parade,0GZ65zwBwkkwGNJ3zagtTZ,MILLENNIUM PARADE,228676,34,1.0,69.7680882297031,auto
中村佳穂,0illCOhPkFBykngmCWos6u,中村佳穂,117114,37,1.0,79.12260920479292,auto
BUMP OF CHICKEN,0hSFeqPehe7FtCNWuQ6Bsy,BUMP OF CHICKEN,1510594,64,1.0,79.28206180872733,auto
なにわ男子,5V0oa9WaeYkBszHV6ItVD6,なにわ男子,228853,58,1.0,84.56952832815365,auto
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,8220387,82,1.0,86.03525255901323,auto
Saucy Dog,4WqXqPmUuenMIr4QaFrZXN,Saucy Dog,1354587,66,1.0,79.47917244295876,auto
JO1,2koP6FEfIEVk4l2Fe6jFhu,JO1,273007,60,1.0,75.29788763994544,auto
BE:FIRST,4wCW8kZ8LL7QIdcE8EOKPP,BE:FIRST,514615,70,1.0,78.47778188946879,auto
