kouhaku_name,rank,spotify_id,spotify_name,followers,popularity,similarity,score
山内惠介,1,5O6t6gb6MeNqzOBAq1oLad,globe,412973,55,0.0,35.06823567969324
山内惠介,2,6e9Wgn2800cCQcM0b4cNwt,Ulfuls,387093,50,0.0,33.94777993352076
山内惠介,3,6VuxycWaTHHrz5ZP5sNSsd,Yamazaru,265307,48,0.0,32.84463732337913
山内惠介,4,37yA8FvkJWnXZXbRg4IQaT,Hiroji Miyamoto,137139,53,0.0,32.616404192805305
山内惠介,5,0O81pFG94dHYwqkVvBqTWb,真田ナオキ,6339,28,0.0,31.89437465045133
日向坂46,1,0Ti7MfCiVVQAK8zLSiqlto,櫻坂46,215797,59,0.6666666666666666,71.32686125029616
日向坂46,2,6O9ZTocnZDT41j4YrOalhz,けやき坂46,138780,33,0.5454545454545454,60.45672560312866
日向坂46,3,08lN7bm4Etec8ETFxaTUmq,Nogizaka46,1306533,62,0.26666666666666666,49.278611167275706
日向坂46,4,03E7w8NrBr4lNCK33TQyil,Keyakizaka46,627303,49,0.23529411764705882,44.05809626803648
日向坂46,5,01wau5CL3Z1vfJJWkzBkqg,AKB48,523291,56,0.2,43.70889970903321
GENERATIONS,1,0Sadg1vgvaPqGTOjxu0N6c,Girls' Generation,2850041,64,0.7692307692307693,71.23287837369683
GENERATIONS,2,1w76rpst0I6hGUgCR2B33C,Generación 12,1248081,62,0.6956521739130435,66.35284169286723
GENERATIONS,3,0MK8l3nURwwQIjafvXoJJt,ASIAN KUNG-FU GENERATION,1156355,61,0.625,63.18467649681644
GENERATIONS,4,4HfuyMMy295oBvbIuXr0v8,GENERATIONS from EXILE TRIBE,693617,52,0.6111111111111112,59.877814710774324
GENERATIONS,5,1S2S00lgLYLGHWA44qGEUs,Gen Hoshino,2258860,66,0.47619047619047616,59.47857325467179
純烈,1,2xfxRiKxoHl5tI0MKyvqV7,&TEAM,762212,68,0.0,38.80889620801809
純烈,2,79bm9tVjukpvmQetF8Um5o,純烈（友井雄亮）,111,0,0.5,38.76566990908567
純烈,3,0F0LmqSLqjDgFWT0Q9XYNh,純烈（小田井涼平）,136,0,0.4444444444444444,36.92151595650728
純烈,4,6wdBu0Y5Xolr3GT4SeccIg,純烈&ダチョウ俱楽部,144,5,0.36363636363636365,34.795579511577046
純烈,5,1w61Z4Tm20rD2lYIxw0f8K,三山ひろし,15781,31,0.0,34.1920050849929
坂本冬美,1,3Mvc8kRgr8LRYYgvFmlZqn,Ayumi Hamasaki,1090042,62,0.0,38.274756708147216
坂本冬美,2,1LQQtqc1vQ1neUgZrjYlEU,Yumi Matsutoya,1216390,59,0.0,37.87888360484797
坂本冬美,3,3vVDusnDA0LcPH3NvZpoyM,Noriyuki Makihara,1036871,59,0.0,37.58167740557528
坂本冬美,4,6YIqgghQqnkNne8BKQpW6v,Keisuke Kuwata,927201,57,0.0,36.973602391494936
